Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-10398.02	-10899.3	501.282	0.415691	0.364134	0.0220624	0.198113	1.261733	1.104331	6.448832	2.204729
6	-10399.21	-10899.4	500.186	0.4207	0.358465	0.0203346	0.2005	1.434811	1.057968	6.923164	2.359599
12	-10393.92	-10894.67	500.7428	0.505453	0.313485	0.0214878	0.159574	1.362016	1.09163	6.639361	2.359599
18	-10390.78	-10891.41	500.6347	0.486908	0.358072	0.0234825	0.131537	1.332443	1.083696	6.591645	2.70911
24	-10388.04	-10888.97	500.9292	0.512852	0.333383	0.0152192	0.138546	1.296358	1.155981	6.389842	2.770304
30	-10401.47	-10902.63	501.1667	0.473274	0.374655	0.0242176	0.127854	1.317684	1.155981	6.389842	2.378022
36	-10407.75	-10907.84	500.0881	0.479192	0.37216	0.0196442	0.129004	1.451648	1.038044	6.747607	3.030489
42	-10389.33	-10889.15	499.8233	0.458062	0.371672	0.0289543	0.141311	1.398765	1.086304	7.001081	2.694412
48	-10388.95	-10888.92	499.972	0.416312	0.434705	0.0418833	0.1071	1.322823	1.124244	6.937357	2.694412
54	-10385.99	-10887.39	501.3976	0.379463	0.393623	0.0730818	0.153832	1.409546	1.194028	6.170725	2.454436
60	-10389.02	-10889.56	500.5476	0.526579	0.266492	0.101415	0.105513	1.295946	1.137937	6.737922	2.398311
66	-10390.99	-10891.36	500.3699	0.442974	0.207427	0.289267	0.0603315	1.295946	1.150203	6.590256	3.092339
72	-10389.01	-10890.09	501.077	0.533118	0.249638	0.144635	0.0726088	1.394352	1.125293	6.564046	2.001006
78	-10398.81	-10898.22	499.4025	0.471901	0.218288	0.241577	0.0682344	1.318307	0.9834308	6.867718	4.219665
84	-10390.94	-10889.55	498.6084	0.451344	0.199259	0.273425	0.0759713	1.313613	0.9239073	7.511611	3.553548
90	-10377.54	-10878.29	500.7539	0.59142	0.103198	0.200307	0.105075	1.377852	1.046843	6.5803	2.551064
96	-10382.56	-10882.78	500.2151	0.477765	0.26057	0.169609	0.0920554	1.577444	1.069431	6.065637	4.993431
102	-10395.32	-10898.88	503.5655	0.477765	0.26057	0.169609	0.0920554	1.433527	1.186844	5.439972	1.361992
108	-10404.55	-10906.62	502.073	0.482584	0.263198	0.119951	0.134267	1.520629	1.173348	5.381176	3.609871
114	-10408.4	-10909.14	500.742	0.564769	0.0903947	0.187704	0.157132	1.65838	1.175103	5.876244	4.222419
120	-10393.13	-10892.63	499.5064	0.581338	0.0776921	0.20009	0.14088	1.677626	1.055834	6.827621	3.421647
126	-10394.1	-10894.51	500.4104	0.581338	0.0776921	0.20009	0.14088	1.47274	1.179502	6.169989	4.111028
132	-10382.97	-10883.15	500.1758	0.566115	0.070454	0.201774	0.161657	1.555486	1.238311	6.114053	4.546471
138	-10386.09	-10887.08	500.9861	0.582292	0.0774545	0.201452	0.138801	1.555486	1.139615	6.133632	3.104001
144	-10375.34	-10875.78	500.446	0.567388	0.0819596	0.237196	0.113456	1.592507	1.106723	6.569548	2.67721
150	-10387.86	-10887.89	500.0363	0.583906	0.0552333	0.244101	0.116759	1.307409	1.101665	6.82732	2.979414
156	-10407.68	-10907.5	499.821	0.621317	0.0454145	0.225437	0.107831	1.393478	1.139306	6.530722	4.18171
162	-10414.17	-10914.99	500.821	0.632803	0.046254	0.211119	0.109825	1.414807	1.139306	6.423827	2.700009
168	-10396.05	-10896.9	500.8431	0.61646	0.0618401	0.237872	0.0838279	1.445046	1.090618	6.423827	2.700009
174	-10390.92	-10891.45	500.5378	0.570325	0.0769265	0.244269	0.10848	1.445046	1.156977	6.484539	2.903463
